Date,HOUR_BIN,passenger_count
2018-01-01,0,11484.0
2018-01-01,4,4268.0
2018-01-01,8,2275.0
2018-01-01,12,4275.0
2018-01-01,16,5761.0
2018-01-01,20,3695.0
2018-01-02,0,1244.0
2018-01-02,4,1992.0
2018-01-02,8,6779.0
2018-01-02,12,6420.0
2018-01-02,16,9527.0
2018-01-02,20,5211.0
2018-01-03,0,1336.0
2018-01-03,4,2064.0
2018-01-03,8,7445.0
2018-01-03,12,7207.0
2018-01-03,16,10162.0
2018-01-03,20,6884.0
2018-01-04,0,1841.0
2018-01-04,4,1113.0
2018-01-04,8,1694.0
2018-01-04,12,947.0
2018-01-04,16,1582.0
2018-01-04,20,1351.0
2018-01-05,0,576.0
2018-01-05,4,1659.0
2018-01-05,8,6569.0
2018-01-05,12,7234.0
2018-01-05,16,11705.0
2018-01-05,20,8958.0
2018-01-06,0,4073.0
2018-01-06,4,1652.0
2018-01-06,8,4738.0
2018-01-06,12,7976.0
2018-01-06,16,10271.0
2018-01-06,20,8227.0
2018-01-07,0,4771.0
2018-01-07,4,1723.0
2018-01-07,8,4071.0
2018-01-07,12,7433.0
2018-01-07,16,7779.0
2018-01-07,20,4546.0
2018-01-08,0,1416.0
2018-01-08,4,2260.0
2018-01-08,8,7151.0
2018-01-08,12,7325.0
2018-01-08,16,9522.0
2018-01-08,20,5907.0
2018-01-09,0,1974.0
2018-01-09,4,2287.0
2018-01-09,8,7172.0
2018-01-09,12,6955.0
2018-01-09,16,9518.0
2018-01-09,20,6835.0
2018-01-10,0,2040.0
2018-01-10,4,2158.0
2018-01-10,8,7398.0
2018-01-10,12,6762.0
2018-01-10,16,9428.0
2018-01-10,20,6696.0
2018-01-11,0,1858.0
2018-01-11,4,2265.0
2018-01-11,8,7607.0
2018-01-11,12,6770.0
2018-01-11,16,9803.0
2018-01-11,20,6961.0
2018-01-12,0,2382.0
2018-01-12,4,2310.0
2018-01-12,8,7264.0
2018-01-12,12,7622.0
2018-01-12,16,11325.0
2018-01-12,20,9379.0
2018-01-13,0,5508.0
2018-01-13,4,2047.0
2018-01-13,8,5412.0
2018-01-13,12,7851.0
2018-01-13,16,10994.0
2018-01-13,20,9867.0
2018-01-14,0,6701.0
2018-01-14,4,2214.0
2018-01-14,8,4362.0
2018-01-14,12,7346.0
2018-01-14,16,8565.0
2018-01-14,20,6222.0
2018-01-15,0,2469.0
2018-01-15,4,1558.0
2018-01-15,8,4330.0
2018-01-15,12,5888.0
2018-01-15,16,7601.0
2018-01-15,20,4694.0
2018-01-16,0,1307.0
2018-01-16,4,2235.0
2018-01-16,8,7295.0
2018-01-16,12,6910.0
2018-01-16,16,9596.0
2018-01-16,20,5806.0
2018-01-17,0,1397.0
2018-01-17,4,2067.0
2018-01-17,8,7125.0
2018-01-17,12,6492.0
2018-01-17,16,9842.0
2018-01-17,20,6722.0
2018-01-18,0,1849.0
2018-01-18,4,2367.0
2018-01-18,8,7487.0
2018-01-18,12,6963.0
2018-01-18,16,10746.0
2018-01-18,20,7472.0
2018-01-19,0,2525.0
2018-01-19,4,2377.0
2018-01-19,8,7435.0
2018-01-19,12,6880.0
2018-01-19,16,11359.0
2018-01-19,20,9426.0
2018-01-20,0,5982.0
2018-01-20,4,2085.0
2018-01-20,8,5309.0
2018-01-20,12,8230.0
2018-01-20,16,10283.0
2018-01-20,20,9178.0
2018-01-21,0,6973.0
2018-01-21,4,2196.0
2018-01-21,8,4249.0
2018-01-21,12,6919.0
2018-01-21,16,7473.0
2018-01-21,20,4900.0
2018-01-22,0,1673.0
2018-01-22,4,2332.0
2018-01-22,8,6833.0
2018-01-22,12,6660.0
2018-01-22,16,8937.0
2018-01-22,20,5227.0
2018-01-23,0,1454.0
2018-01-23,4,2193.0
2018-01-23,8,7402.0
2018-01-23,12,6144.0
2018-01-23,16,9161.0
2018-01-23,20,5772.0
2018-01-24,0,1454.0
2018-01-24,4,2273.0
2018-01-24,8,7635.0
2018-01-24,12,7171.0
2018-01-24,16,10425.0
2018-01-24,20,7225.0
2018-01-25,0,1905.0
2018-01-25,4,2288.0
2018-01-25,8,7440.0
2018-01-25,12,7064.0
2018-01-25,16,10545.0
2018-01-25,20,7517.0
2018-01-26,0,2409.0
2018-01-26,4,2430.0
2018-01-26,8,7332.0
2018-01-26,12,6920.0
2018-01-26,16,11816.0
2018-01-26,20,10023.0
2018-01-27,0,6175.0
2018-01-27,4,2405.0
2018-01-27,8,5690.0
2018-01-27,12,7955.0
2018-01-27,16,10091.0
2018-01-27,20,9119.0
2018-01-28,0,7332.0
2018-01-28,4,2411.0
