,Date,HOUR_BIN,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
0,1/1/2018,0,-11.575,-16.85,-17.325,62.4725,0,0,0,0,32.56666667,9.35,304.25,1026.925,0,16,0,,0
1,1/1/2018,4,-11.975,-16.6,-16.475,69.245,0,0,0,0,35.26666667,7.775,292.75,1027.925,0.05,16,16.25,0.15,0
2,1/1/2018,8,-9.025,-13.35,-15.475,60.3375,0,0,0,0,45.1,8.35,305.5,1028.5,0.25,15.525,330.25,1.175,3.5
3,1/1/2018,12,-5.15,-8.175,-16.25,41.53,0,0,0,0,31.85,7.075,320.5,1027.15,0.2,16,296.75,1.075,3.25
4,1/1/2018,16,-6.35,-9.775,-14.9,50.9925,0,0,0,0,42.975,7.775,305.75,1027.75,0.2,16,2.5,0,0
5,1/1/2018,20,-7.433333333,-14.83333333,-13.36666667,62.41666667,0,0,0,0,35.03333333,21.4,270,1027.666667,0.2,16,0,,0
6,1/2/2018,0,-8.775,-15.6,-14.25,64.44,0,0,0,0,32.975,17.4,266.25,1028.25,0.1,16,0,,0
7,1/2/2018,4,-8.65,-15.45,-13,70.765,0,0,0,0,33.15,17.125,267.5,1029.175,1.3,16,40,0.2,0
8,1/2/2018,8,-6.225,-12.6,-12.225,62.905,0,0,0.24,0.8975,36.775,17.525,260.75,1029.85,0.45,16,321.25,1.15,3.25
9,1/2/2018,12,-2.15,-7.95,-11.3,49.57,0,0,0,0.73,33.4,19.925,260.5,1027.025,1.05,16,290.5,1.05,3
10,1/2/2018,16,-4.175,-11.075,-10.875,59.6975,0,0,0,0.5625,40.7,24.025,259.75,1026.625,0.35,16,3,0,0
11,1/2/2018,20,-6.033333333,-13.03333333,-12.53333333,60.05,0,0,0,0.42,34.83333333,21.2,269.6666667,1026.7,0.133333333,16,0,,0
12,1/3/2018,0,-7.2,-14.075,-13.5,60.8625,0,0,0,0.23,31.5,19,259.75,1026.975,0.2,16,0,,0
13,1/3/2018,4,-7.525,-12.95,-13.8,61.0075,0,0,0,0.0625,,12.1,250,1026.75,0.625,16,38.5,0.2,0
14,1/3/2018,8,-5.05,-8.9,-12.9,54.6225,0.47025,75,0.13,0.315,66.26666667,8.75,273,1026.525,0.725,16,293.75,1.05,2.75
15,1/3/2018,12,-0.775,-4.1,-13.125,38.855,0.58625,100,0.125,0.81,64.425,10.675,207.5,1022.725,0.9,16,240.5,0.875,2.5
16,1/3/2018,16,-1.575,-5.125,-9.475,55.4325,0.294,50,0.1275,1.315,68.4,10,142.25,1021.3,0.925,16,2.25,0,0
17,1/3/2018,20,-0.833333333,-5.066666667,-6.533333333,65.22,0,0,0.126666667,1.75,,13.3,51.33333333,1018.566667,18.23333333,16,0,,0
18,1/4/2018,0,-0.4,-5.075,-8.825,53.145,0,0,0.1275,2.3125,29.6,16.075,47,1010.8,48.275,16,0,,0
19,1/4/2018,4,-2.725,-7.025,-5.95,79.2825,0.11925,100,0.1275,2.8125,38.975,12.425,286.25,1001.875,42.05,6.325,34.5,0.166666667,0
20,1/4/2018,8,-3.425,-7.775,-4.95,89.1225,0.123,100,0.5075,4.025,52.625,11.55,296,995.475,58.55,1.175,20,0.075,0
21,1/4/2018,12,-3.65,-5.95,-5.1,89.6125,0.07875,100,0.67,6.705,47.2,5.95,324.75,991.375,47.425,1.725,42,0.15,0.25
22,1/4/2018,16,-3.45,-6.975,-6.875,77.2,0.00425,25,0.67,9.385,59.175,8.675,301.25,994.325,42.5,12.8,24.75,0.075,0
23,1/4/2018,20,-5.033333333,-9.366666667,-10.03333333,67.90333333,0,0,0.67,11.73,55.36666667,10.73333333,310.3333333,998.7,48.3,16,49,0.2,0
24,1/5/2018,0,-8.475,-12.85,-13.125,68.9975,0,0,0.67,14.745,45.75,8.55,286,1002.025,1.375,16,5.75,0.1,0
25,1/5/2018,4,-10.8,-15.65,-15.725,67.0275,0,0,0.67,17.425,49.375,8.7,287.5,1006.35,0.2,16,38,0.2,0
26,1/5/2018,8,-7.75,-13.2,-13.825,61.675,0,0,0,18.255,49.425,12.3,293,1009.35,6.75,16,340.5,1.225,3.5
27,1/5/2018,12,-4.775,-9.375,-14.75,45.9175,0,0,0,17.965,48.15,11.575,301.75,1010.85,7.075,16,307,1.125,3.25
28,1/5/2018,16,-8.5,-12.8,-17.325,48.965,0,0,0,17.68,50.1,8.325,290,1014,1.225,16,2.75,0,0
29,1/5/2018,20,-10.3,-15.6,-17.16666667,57.15333333,0,0,0,17.43,41.46666667,10.2,285.3333333,1016.466667,0.2,16,0,,0
30,1/6/2018,0,-11.45,-18.5,-18.05,58.24,0,0,0,17.105,33.75,15.125,270.5,1018.725,0,16,0,,0
31,1/6/2018,4,-12.225,-21.575,-18.025,62.2675,0,0,0,16.8225,44.1,25.375,266,1020.825,0.4,16,37.75,0.166666667,0
